,match_id,date,variable,value,venue,team_id,team_name,league_name
0,3377484,2020-09-26,xG_for,1.4,H,8611,FC Twente,Eredivisie
1,3377484,2020-09-26,xG_ag,1.2,H,8611,FC Twente,Eredivisie
2,3377484,2020-09-26,xG_for,1.2,A,8674,FC Groningen,Eredivisie
3,3377484,2020-09-26,xG_ag,1.4,A,8674,FC Groningen,Eredivisie
4,3377485,2020-09-26,xG_for,2.33,H,6413,PEC Zwolle,Eredivisie
5,3377485,2020-09-26,xG_ag,0.86,H,6413,PEC Zwolle,Eredivisie
6,3377485,2020-09-26,xG_for,0.86,A,8614,Sparta Rotterdam,Eredivisie
7,3377485,2020-09-26,xG_ag,2.33,A,8614,Sparta Rotterdam,Eredivisie
8,3377486,2020-09-26,xG_for,1.32,H,6422,Fortuna Sittard,Eredivisie
9,3377486,2020-09-26,xG_ag,1.96,H,6422,Fortuna Sittard,Eredivisie
10,3377486,2020-09-26,xG_for,1.96,A,10229,AZ Alkmaar,Eredivisie
11,3377486,2020-09-26,xG_ag,1.32,A,10229,AZ Alkmaar,Eredivisie
12,3377487,2020-09-27,xG_for,1.71,H,10228,SC Heerenveen,Eredivisie
13,3377487,2020-09-27,xG_ag,0.54,H,10228,SC Heerenveen,Eredivisie
14,3377487,2020-09-27,xG_for,0.54,A,9839,VVV-Venlo,Eredivisie
15,3377487,2020-09-27,xG_ag,1.71,A,9839,VVV-Venlo,Eredivisie
16,3377488,2020-09-27,xG_for,2.16,H,8593,Ajax,Eredivisie
17,3377488,2020-09-27,xG_ag,1.86,H,8593,Ajax,Eredivisie
18,3377488,2020-09-27,xG_for,1.86,A,8277,Vitesse,Eredivisie
19,3377488,2020-09-27,xG_ag,2.16,A,8277,Vitesse,Eredivisie
20,3377489,2020-09-27,xG_for,2.87,H,10235,Feyenoord,Eredivisie
21,3377489,2020-09-27,xG_ag,1.86,H,10235,Feyenoord,Eredivisie
22,3377489,2020-09-27,xG_for,1.86,A,10217,ADO Den Haag,Eredivisie
23,3377489,2020-09-27,xG_ag,2.87,A,10217,ADO Den Haag,Eredivisie
24,3377490,2020-09-27,xG_for,2.4,H,9908,FC Utrecht,Eredivisie
25,3377490,2020-09-27,xG_ag,0.6,H,9908,FC Utrecht,Eredivisie
26,3377490,2020-09-27,xG_for,0.6,A,10219,RKC Waalwijk,Eredivisie
27,3377490,2020-09-27,xG_ag,2.4,A,10219,RKC Waalwijk,Eredivisie
28,3377491,2020-09-27,xG_for,1.39,H,9791,Heracles,Eredivisie
29,3377491,2020-09-27,xG_ag,1.48,H,9791,Heracles,Eredivisie
30,3377491,2020-09-27,xG_for,1.48,A,8640,PSV Eindhoven,Eredivisie
31,3377491,2020-09-27,xG_ag,1.39,A,8640,PSV Eindhoven,Eredivisie
32,3377492,2020-09-27,xG_for,1.4,H,6660,FC Emmen,Eredivisie
33,3377492,2020-09-27,xG_ag,1.41,H,6660,FC Emmen,Eredivisie
34,3377492,2020-09-27,xG_for,1.41,A,8525,Willem II,Eredivisie
35,3377492,2020-09-27,xG_ag,1.4,A,8525,Willem II,Eredivisie
36,3377493,2020-10-03,xG_for,3.6,H,9908,FC Utrecht,Eredivisie
37,3377493,2020-10-03,xG_ag,0.67,H,9908,FC Utrecht,Eredivisie
38,3377493,2020-10-03,xG_for,0.67,A,10228,SC Heerenveen,Eredivisie
39,3377493,2020-10-03,xG_ag,3.6,A,10228,SC Heerenveen,Eredivisie
40,3377494,2020-10-03,xG_for,1.67,H,8277,Vitesse,Eredivisie
41,3377494,2020-10-03,xG_ag,0.55,H,8277,Vitesse,Eredivisie
42,3377494,2020-10-03,xG_for,0.55,A,9791,Heracles,Eredivisie
43,3377494,2020-10-03,xG_ag,1.67,A,9791,Heracles,Eredivisie
44,3377495,2020-10-21,xG_for,1.05,H,10219,RKC Waalwijk,Eredivisie
45,3377495,2020-10-21,xG_ag,2.6,H,10219,RKC Waalwijk,Eredivisie
46,3377495,2020-10-21,xG_for,2.6,A,6413,PEC Zwolle,Eredivisie
47,3377495,2020-10-21,xG_ag,1.05,A,6413,PEC Zwolle,Eredivisie
48,3377496,2020-10-04,xG_for,0.56,H,9839,VVV-Venlo,Eredivisie
49,3377496,2020-10-04,xG_ag,1.78,H,9839,VVV-Venlo,Eredivisie
50,3377496,2020-10-04,xG_for,1.78,A,10217,ADO Den Haag,Eredivisie
51,3377496,2020-10-04,xG_ag,0.56,A,10217,ADO Den Haag,Eredivisie
52,3377497,2020-10-04,xG_for,1.82,H,8611,FC Twente,Eredivisie
53,3377497,2020-10-04,xG_ag,1.14,H,8611,FC Twente,Eredivisie
54,3377497,2020-10-04,xG_for,1.14,A,6660,FC Emmen,Eredivisie
55,3377497,2020-10-04,xG_ag,1.82,A,6660,FC Emmen,Eredivisie
56,3377498,2020-10-04,xG_for,1.09,H,8674,FC Groningen,Eredivisie
57,3377498,2020-10-04,xG_ag,1.95,H,8674,FC Groningen,Eredivisie
58,3377498,2020-10-04,xG_for,1.95,A,8593,Ajax,Eredivisie
59,3377498,2020-10-04,xG_ag,1.09,A,8593,Ajax,Eredivisie
60,3377499,2020-10-04,xG_for,1.85,H,8614,Sparta Rotterdam,Eredivisie
61,3377499,2020-10-04,xG_ag,3.48,H,8614,Sparta Rotterdam,Eredivisie
62,3377499,2020-10-04,xG_for,3.48,A,10229,AZ Alkmaar,Eredivisie
63,3377499,2020-10-04,xG_ag,1.85,A,10229,AZ Alkmaar,Eredivisie
64,3377500,2020-10-04,xG_for,0.7,H,8525,Willem II,Eredivisie
65,3377500,2020-10-04,xG_ag,2.37,H,8525,Willem II,Eredivisie
66,3377500,2020-10-04,xG_for,2.37,A,10235,Feyenoord,Eredivisie
67,3377500,2020-10-04,xG_ag,0.7,A,10235,Feyenoord,Eredivisie
68,3377501,2020-10-04,xG_for,1.85,H,8640,PSV Eindhoven,Eredivisie
69,3377501,2020-10-04,xG_ag,1.06,H,8640,PSV Eindhoven,Eredivisie
70,3377501,2020-10-04,xG_for,1.06,A,6422,Fortuna Sittard,Eredivisie
71,3377501,2020-10-04,xG_ag,1.85,A,6422,Fortuna Sittard,Eredivisie
72,3377502,2020-10-18,xG_for,2.9,H,8593,Ajax,Eredivisie
73,3377502,2020-10-18,xG_ag,1.01,H,8593,Ajax,Eredivisie
74,3377502,2020-10-18,xG_for,1.01,A,10228,SC Heerenveen,Eredivisie
75,3377502,2020-10-18,xG_ag,2.9,A,10228,SC Heerenveen,Eredivisie
76,3377503,2020-10-18,xG_for,1.8,H,8525,Willem II,Eredivisie
77,3377503,2020-10-18,xG_ag,3.11,H,8525,Willem II,Eredivisie
78,3377503,2020-10-18,xG_for,3.11,A,8611,FC Twente,Eredivisie
79,3377503,2020-10-18,xG_ag,1.8,A,8611,FC Twente,Eredivisie
80,3377504,2020-10-17,xG_for,1.84,H,9791,Heracles,Eredivisie
81,3377504,2020-10-17,xG_ag,0.26,H,9791,Heracles,Eredivisie
82,3377504,2020-10-17,xG_for,0.26,A,10219,RKC Waalwijk,Eredivisie
83,3377504,2020-10-17,xG_ag,1.84,A,10219,RKC Waalwijk,Eredivisie
84,3377505,2020-10-18,xG_for,1.51,H,10229,AZ Alkmaar,Eredivisie
85,3377505,2020-10-18,xG_ag,1.64,H,10229,AZ Alkmaar,Eredivisie
86,3377505,2020-10-18,xG_for,1.64,A,9839,VVV-Venlo,Eredivisie
87,3377505,2020-10-18,xG_ag,1.51,A,9839,VVV-Venlo,Eredivisie
88,3377506,2020-10-18,xG_for,1.24,H,10235,Feyenoord,Eredivisie
89,3377506,2020-10-18,xG_ag,2.15,H,10235,Feyenoord,Eredivisie
90,3377506,2020-10-18,xG_for,2.15,A,8614,Sparta Rotterdam,Eredivisie
91,3377506,2020-10-18,xG_ag,1.24,A,8614,Sparta Rotterdam,Eredivisie
92,3377507,2020-10-18,xG_for,1.18,H,10217,ADO Den Haag,Eredivisie
93,3377507,2020-10-18,xG_ag,1.41,H,10217,ADO Den Haag,Eredivisie
94,3377507,2020-10-18,xG_for,1.41,A,8277,Vitesse,Eredivisie
95,3377507,2020-10-18,xG_ag,1.18,A,8277,Vitesse,Eredivisie
96,3377508,2020-10-19,xG_for,1.46,H,6660,FC Emmen,Eredivisie
97,3377508,2020-10-19,xG_ag,1.49,H,6660,FC Emmen,Eredivisie
98,3377508,2020-10-19,xG_for,1.49,A,6422,Fortuna Sittard,Eredivisie
99,3377508,2020-10-19,xG_ag,1.46,A,6422,Fortuna Sittard,Eredivisie
100,3377509,2020-10-18,xG_for,1.04,H,8674,FC Groningen,Eredivisie
101,3377509,2020-10-18,xG_ag,1.64,H,8674,FC Groningen,Eredivisie
102,3377509,2020-10-18,xG_for,1.64,A,9908,FC Utrecht,Eredivisie
103,3377509,2020-10-18,xG_ag,1.04,A,9908,FC Utrecht,Eredivisie
104,3377510,2020-10-18,xG_for,2.13,H,6413,PEC Zwolle,Eredivisie
105,3377510,2020-10-18,xG_ag,2.5,H,6413,PEC Zwolle,Eredivisie
106,3377510,2020-10-18,xG_for,2.5,A,8640,PSV Eindhoven,Eredivisie
107,3377510,2020-10-18,xG_ag,2.13,A,8640,PSV Eindhoven,Eredivisie
108,3377511,2020-10-24,xG_for,0.32,H,9839,VVV-Venlo,Eredivisie
109,3377511,2020-10-24,xG_ag,9.28,H,9839,VVV-Venlo,Eredivisie
110,3377511,2020-10-24,xG_for,9.28,A,8593,Ajax,Eredivisie
111,3377511,2020-10-24,xG_ag,0.32,A,8593,Ajax,Eredivisie
112,3377512,2020-10-24,xG_for,1.36,H,9908,FC Utrecht,Eredivisie
113,3377512,2020-10-24,xG_ag,1.18,H,9908,FC Utrecht,Eredivisie
114,3377512,2020-10-24,xG_for,1.18,A,8611,FC Twente,Eredivisie
115,3377512,2020-10-24,xG_ag,1.36,A,8611,FC Twente,Eredivisie
116,3377513,2020-10-26,xG_for,0.65,H,10217,ADO Den Haag,Eredivisie
117,3377513,2020-10-26,xG_ag,2.31,H,10217,ADO Den Haag,Eredivisie
118,3377513,2020-10-26,xG_for,2.31,A,10229,AZ Alkmaar,Eredivisie
119,3377513,2020-10-26,xG_ag,0.65,A,10229,AZ Alkmaar,Eredivisie
120,3377514,2020-10-25,xG_for,2.19,H,10228,SC Heerenveen,Eredivisie
121,3377514,2020-10-25,xG_ag,0.54,H,10228,SC Heerenveen,Eredivisie
122,3377514,2020-10-25,xG_for,0.54,A,6660,FC Emmen,Eredivisie
123,3377514,2020-10-25,xG_ag,2.19,A,6660,FC Emmen,Eredivisie
124,3377515,2020-10-25,xG_for,0.5,H,10219,RKC Waalwijk,Eredivisie
125,3377515,2020-10-25,xG_ag,1.52,H,10219,RKC Waalwijk,Eredivisie
126,3377515,2020-10-25,xG_for,1.52,A,10235,Feyenoord,Eredivisie
127,3377515,2020-10-25,xG_ag,0.5,A,10235,Feyenoord,Eredivisie
128,3377516,2020-10-25,xG_for,1.4,H,6422,Fortuna Sittard,Eredivisie
129,3377516,2020-10-25,xG_ag,2.6,H,6422,Fortuna Sittard,Eredivisie
130,3377516,2020-10-25,xG_for,2.6,A,8674,FC Groningen,Eredivisie
131,3377516,2020-10-25,xG_ag,1.4,A,8674,FC Groningen,Eredivisie
132,3377517,2020-10-25,xG_for,0.84,H,8277,Vitesse,Eredivisie
133,3377517,2020-10-25,xG_ag,0.76,H,8277,Vitesse,Eredivisie
134,3377517,2020-10-25,xG_for,0.76,A,8640,PSV Eindhoven,Eredivisie
135,3377517,2020-10-25,xG_ag,0.84,A,8640,PSV Eindhoven,Eredivisie
136,3377518,2020-10-25,xG_for,0.89,H,6413,PEC Zwolle,Eredivisie
137,3377518,2020-10-25,xG_ag,1.02,H,6413,PEC Zwolle,Eredivisie
138,3377518,2020-10-25,xG_for,1.02,A,8525,Willem II,Eredivisie
139,3377518,2020-10-25,xG_ag,0.89,A,8525,Willem II,Eredivisie
140,3377519,2020-10-25,xG_for,0.65,H,8614,Sparta Rotterdam,Eredivisie
141,3377519,2020-10-25,xG_ag,1.5,H,8614,Sparta Rotterdam,Eredivisie
142,3377519,2020-10-25,xG_for,1.5,A,9791,Heracles,Eredivisie
143,3377519,2020-10-25,xG_ag,0.65,A,9791,Heracles,Eredivisie
144,3377520,2020-11-01,xG_for,5.64,H,8593,Ajax,Eredivisie
145,3377520,2020-11-01,xG_ag,0.95,H,8593,Ajax,Eredivisie
146,3377520,2020-11-01,xG_for,0.95,A,6422,Fortuna Sittard,Eredivisie
147,3377520,2020-11-01,xG_ag,5.64,A,6422,Fortuna Sittard,Eredivisie
148,3377521,2020-11-01,xG_for,0.91,H,8674,FC Groningen,Eredivisie
149,3377521,2020-11-01,xG_ag,0.74,H,8674,FC Groningen,Eredivisie
150,3377521,2020-11-01,xG_for,0.74,A,9839,VVV-Venlo,Eredivisie
151,3377521,2020-11-01,xG_ag,0.91,A,9839,VVV-Venlo,Eredivisie
152,3377522,2020-11-01,xG_for,1.4,H,8611,FC Twente,Eredivisie
153,3377522,2020-11-01,xG_ag,1.25,H,8611,FC Twente,Eredivisie
154,3377522,2020-11-01,xG_for,1.25,A,6413,PEC Zwolle,Eredivisie
155,3377522,2020-11-01,xG_ag,1.4,A,6413,PEC Zwolle,Eredivisie
156,3377523,2020-11-02,xG_for,3.51,H,10229,AZ Alkmaar,Eredivisie
157,3377523,2020-11-02,xG_ag,0.37,H,10229,AZ Alkmaar,Eredivisie
158,3377523,2020-11-02,xG_for,0.37,A,10219,RKC Waalwijk,Eredivisie
159,3377523,2020-11-02,xG_ag,3.51,A,10219,RKC Waalwijk,Eredivisie
160,3377524,2020-11-01,xG_for,2.14,H,9791,Heracles,Eredivisie
161,3377524,2020-11-01,xG_ag,1.79,H,9791,Heracles,Eredivisie
162,3377524,2020-11-01,xG_for,1.79,A,9908,FC Utrecht,Eredivisie
163,3377524,2020-11-01,xG_ag,2.14,A,9908,FC Utrecht,Eredivisie
164,3377525,2020-11-01,xG_for,3.35,H,8640,PSV Eindhoven,Eredivisie
165,3377525,2020-11-01,xG_ag,0.42,H,8640,PSV Eindhoven,Eredivisie
166,3377525,2020-11-01,xG_for,0.42,A,10217,ADO Den Haag,Eredivisie
167,3377525,2020-11-01,xG_ag,3.35,A,10217,ADO Den Haag,Eredivisie
168,3377526,2020-11-01,xG_for,1.52,H,8614,Sparta Rotterdam,Eredivisie
169,3377526,2020-11-01,xG_ag,2.09,H,8614,Sparta Rotterdam,Eredivisie
170,3377526,2020-11-01,xG_for,2.09,A,10228,SC Heerenveen,Eredivisie
171,3377526,2020-11-01,xG_ag,1.52,A,10228,SC Heerenveen,Eredivisie
172,3377527,2020-11-01,xG_for,1.2,H,6660,FC Emmen,Eredivisie
173,3377527,2020-11-01,xG_ag,3.07,H,6660,FC Emmen,Eredivisie
174,3377527,2020-11-01,xG_for,3.07,A,10235,Feyenoord,Eredivisie
175,3377527,2020-11-01,xG_ag,1.2,A,10235,Feyenoord,Eredivisie
176,3377528,2020-11-01,xG_for,1.05,H,8525,Willem II,Eredivisie
177,3377528,2020-11-01,xG_ag,1.57,H,8525,Willem II,Eredivisie
178,3377528,2020-11-01,xG_for,1.57,A,8277,Vitesse,Eredivisie
179,3377528,2020-11-01,xG_ag,1.05,A,8277,Vitesse,Eredivisie
180,3377529,2020-11-07,xG_for,0.68,H,6422,Fortuna Sittard,Eredivisie
181,3377529,2020-11-07,xG_ag,0.54,H,6422,Fortuna Sittard,Eredivisie
182,3377529,2020-11-07,xG_for,0.54,A,6413,PEC Zwolle,Eredivisie
183,3377529,2020-11-07,xG_ag,0.68,A,6413,PEC Zwolle,Eredivisie
184,3377530,2020-11-07,xG_for,0.57,H,10217,ADO Den Haag,Eredivisie
185,3377530,2020-11-07,xG_ag,2.33,H,10217,ADO Den Haag,Eredivisie
186,3377530,2020-11-07,xG_for,2.33,A,8611,FC Twente,Eredivisie
187,3377530,2020-11-07,xG_ag,0.57,A,8611,FC Twente,Eredivisie
188,3377531,2020-11-08,xG_for,3.14,H,9839,VVV-Venlo,Eredivisie
189,3377531,2020-11-08,xG_ag,1.23,H,9839,VVV-Venlo,Eredivisie
190,3377531,2020-11-08,xG_for,1.23,A,9791,Heracles,Eredivisie
191,3377531,2020-11-08,xG_ag,3.14,A,9791,Heracles,Eredivisie
192,3377532,2020-11-08,xG_for,0.52,H,10228,SC Heerenveen,Eredivisie
193,3377532,2020-11-08,xG_ag,1.96,H,10228,SC Heerenveen,Eredivisie
194,3377532,2020-11-08,xG_for,1.96,A,10229,AZ Alkmaar,Eredivisie
195,3377532,2020-11-08,xG_ag,0.52,A,10229,AZ Alkmaar,Eredivisie
196,3377533,2020-11-08,xG_for,1.1,H,8277,Vitesse,Eredivisie
197,3377533,2020-11-08,xG_ag,2.48,H,8277,Vitesse,Eredivisie
198,3377533,2020-11-08,xG_for,2.48,A,6660,FC Emmen,Eredivisie
199,3377533,2020-11-08,xG_ag,1.1,A,6660,FC Emmen,Eredivisie
200,3377534,2020-11-08,xG_for,0.85,H,9908,FC Utrecht,Eredivisie
201,3377534,2020-11-08,xG_ag,2.86,H,9908,FC Utrecht,Eredivisie
202,3377534,2020-11-08,xG_for,2.86,A,8593,Ajax,Eredivisie
203,3377534,2020-11-08,xG_ag,0.85,A,8593,Ajax,Eredivisie
204,3377535,2020-11-09,xG_for,2.19,H,8640,PSV Eindhoven,Eredivisie
205,3377535,2020-11-09,xG_ag,1.01,H,8640,PSV Eindhoven,Eredivisie
206,3377535,2020-11-09,xG_for,1.01,A,8525,Willem II,Eredivisie
207,3377535,2020-11-09,xG_ag,2.19,A,8525,Willem II,Eredivisie
208,3377536,2020-11-08,xG_for,0.75,H,10219,RKC Waalwijk,Eredivisie
209,3377536,2020-11-08,xG_ag,1.73,H,10219,RKC Waalwijk,Eredivisie
210,3377536,2020-11-08,xG_for,1.73,A,8614,Sparta Rotterdam,Eredivisie
211,3377536,2020-11-08,xG_ag,0.75,A,8614,Sparta Rotterdam,Eredivisie
212,3377537,2020-11-08,xG_for,1.9,H,10235,Feyenoord,Eredivisie
213,3377537,2020-11-08,xG_ag,0.66,H,10235,Feyenoord,Eredivisie
